round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_conv_dim,first_conv_kernel,first_conv_activation,first_lstm_dim,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
1000,0.0019542842637747526,0.0019542842637747526,0.021739887073636055,0.0018849435728043318,0.0018849435728043318,0.024168163537979126,64,7,relu,50,32,relu,256,200,20,adam,1e-05
1000,0.0019560083746910095,0.0019560083746910095,0.021686462685465813,0.0018683666130527854,0.0018683666130527854,0.023609062656760216,64,7,relu,75,64,relu,256,200,20,adam,0.0001
103,0.002094599651172757,0.002094599651172757,0.02240951918065548,0.00208068173378706,0.00208068173378706,0.024828117340803146,32,5,relu,75,64,relu,256,200,20,adam,0.001
133,0.002052989788353443,0.002052989788353443,0.022198326885700226,0.0019851571414619684,0.0019851571414619684,0.024291828274726868,32,7,relu,75,16,tanh,256,200,20,adam,0.0001
91,0.002082351827993989,0.002082351827993989,0.022308064624667168,0.0021042083390057087,0.0021042083390057087,0.024797461926937103,64,5,relu,50,64,relu,256,200,20,adam,1e-05
109,0.0020641833543777466,0.0020641833543777466,0.022199001163244247,0.001991863362491131,0.001991863362491131,0.024504180997610092,64,7,relu,50,64,tanh,256,200,20,adam,0.001
92,0.002080349251627922,0.002080349251627922,0.022237762808799744,0.0020321400370448828,0.0020321400370448828,0.024419501423835754,32,7,relu,75,32,tanh,256,200,20,adam,0.001
97,0.002083759056404233,0.002083759056404233,0.02233326993882656,0.0020491848699748516,0.0020491848699748516,0.024678684771060944,32,3,relu,75,64,tanh,256,200,20,adam,0.0001
1000,0.002056441968306899,0.002056441968306899,0.022173145785927773,0.0020675428677350283,0.0020675428677350283,0.024826766923069954,32,7,relu,75,64,tanh,256,200,20,adam,1e-05
74,0.0020727666560560465,0.0020727666560560465,0.02219269424676895,0.002047197660431266,0.002047197660431266,0.02453211136162281,32,3,relu,75,32,tanh,256,200,20,adam,0.0001
85,0.0020645963959395885,0.0020645963959395885,0.022104237228631973,0.0019653006456792355,0.0019653006456792355,0.024151338264346123,32,3,relu,75,32,relu,256,200,20,adam,0.001
117,0.0020654082763940096,0.0020654082763940096,0.02211826667189598,0.0019531139405444264,0.0019531139405444264,0.024202993139624596,32,3,relu,75,16,relu,256,200,20,adam,0.001
