round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_gru_dim,gru_activation,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
148,0.0014196806587278843,0.0014196806587278843,0.017729751765727997,0.0013262878637760878,0.0013262878637760878,0.018763843923807144,50,relu,16,relu,256,200,20,rmsprop,0.001
163,0.001478829886764288,0.001478829886764288,0.01831926964223385,0.0013381681637838483,0.0013381681637838483,0.019240226596593857,100,relu,16,relu,256,200,20,adam,1e-05
120,0.0014698327286168933,0.0014698327286168933,0.018178921192884445,0.0013384174089878798,0.0013384174089878798,0.01914655789732933,50,relu,64,relu,256,200,20,rmsprop,1e-05
91,0.0015184629010036588,0.0015184629010036588,0.018600812181830406,0.0013912678696215153,0.0013912678696215153,0.0196964330971241,75,relu,100,relu,256,200,20,nadam,1e-05
126,0.0014206034829840064,0.0014206034829840064,0.017769956961274147,0.0013451258419081569,0.0013451258419081569,0.018859418109059334,100,relu,100,relu,256,200,20,nadam,0.0001
138,0.0014387170085683465,0.0014387170085683465,0.01790475845336914,0.0013232091441750526,0.0013232091441750526,0.0188802108168602,75,relu,100,relu,256,200,20,adam,0.001
135,0.0014439966762438416,0.0014439966762438416,0.01801549457013607,0.001333592226728797,0.001333592226728797,0.01900513656437397,100,relu,100,relu,256,200,20,rmsprop,1e-05
201,0.001445458154194057,0.001445458154194057,0.01803070865571499,0.0013243826106190681,0.0013243826106190681,0.01896827481687069,75,relu,64,relu,256,200,20,rmsprop,0.0001
159,0.0014528671745210886,0.0014528671745210886,0.018068529665470123,0.0013269882183521986,0.0013269882183521986,0.019022252410650253,100,relu,32,relu,256,200,20,adam,0.001
129,0.001508811255916953,0.001508811255916953,0.018505781888961792,0.0013755927793681622,0.0013755927793681622,0.019535766914486885,50,relu,16,relu,256,200,20,adam,0.001
133,0.0014323312789201736,0.0014323312789201736,0.017908673733472824,0.0013312330702319741,0.0013312330702319741,0.018893014639616013,100,relu,32,relu,256,200,20,adam,0.0001
137,0.0014248817460611463,0.0014248817460611463,0.01782652549445629,0.0013660311233252287,0.0013660311233252287,0.018944572657346725,75,relu,64,relu,256,200,20,adam,0.0001
143,0.001419557142071426,0.001419557142071426,0.01774626597762108,0.0013337930431589484,0.0013337930431589484,0.01878415420651436,75,relu,32,relu,256,200,20,nadam,0.0001
131,0.001429873052984476,0.001429873052984476,0.01786341890692711,0.0013296385295689106,0.0013296385295689106,0.01886289194226265,75,relu,32,relu,256,200,20,adam,0.001
150,0.001451100455597043,0.001451100455597043,0.018069326877593994,0.001358719076961279,0.001358719076961279,0.019119378179311752,75,relu,100,relu,256,200,20,rmsprop,0.0001
149,0.0014321687631309032,0.0014321687631309032,0.017954817041754723,0.001328604412265122,0.001328604412265122,0.01894102804362774,100,relu,16,relu,256,200,20,nadam,0.001
89,0.0015098950825631618,0.0015098950825631618,0.01850724406540394,0.0013710710918530822,0.0013710710918530822,0.019540630280971527,100,relu,100,relu,256,200,20,adam,0.0001
152,0.0014445510460063815,0.0014445510460063815,0.018088579177856445,0.001314470311626792,0.001314470311626792,0.01896836794912815,75,relu,64,relu,256,200,20,nadam,1e-05
139,0.001410258118994534,0.001410258118994534,0.01771065592765808,0.0013421509647741914,0.0013421509647741914,0.01879614032804966,100,relu,64,relu,256,200,20,nadam,0.001
156,0.0014080768451094627,0.0014080768451094627,0.017687521874904633,0.0013484656810760498,0.0013484656810760498,0.018800482153892517,100,relu,16,relu,256,200,20,rmsprop,0.001
119,0.0014266943326219916,0.0014266943326219916,0.017887204885482788,0.0013416933361440897,0.0013416933361440897,0.0189108457416296,100,relu,64,relu,256,200,20,rmsprop,1e-05
141,0.0014101193519309163,0.0014101193519309163,0.01771298423409462,0.0013479732442647219,0.0013479732442647219,0.018842089921236038,75,relu,16,relu,256,200,20,rmsprop,0.001
144,0.001426476170308888,0.001426476170308888,0.017844906076788902,0.0013820776948705316,0.0013820776948705316,0.01902979426085949,100,relu,100,relu,256,200,20,nadam,1e-05
114,0.0014336894964799285,0.0014336894964799285,0.017973190173506737,0.001353980042040348,0.001353980042040348,0.019049566239118576,50,relu,16,relu,256,200,20,nadam,0.001
123,0.0014946728479117155,0.0014946728479117155,0.018385913223028183,0.0013713628286495805,0.0013713628286495805,0.01944401115179062,100,relu,32,relu,256,200,20,nadam,0.0001
137,0.0014192669186741114,0.0014192669186741114,0.017740055918693542,0.00134091277141124,0.00134091277141124,0.018872344866394997,50,relu,64,relu,256,200,20,adam,1e-05
141,0.0015042813029140234,0.0015042813029140234,0.01855434477329254,0.0013197566149756312,0.0013197566149756312,0.019281627610325813,75,relu,64,relu,256,200,20,rmsprop,0.001
146,0.0014627543278038502,0.0014627543278038502,0.018167860805988312,0.0013369786320254207,0.0013369786320254207,0.019136572256684303,75,relu,100,relu,256,200,20,nadam,0.0001
107,0.0014159567654132843,0.0014159567654132843,0.017659666016697884,0.0013707611942663789,0.0013707611942663789,0.018938133493065834,75,relu,16,relu,256,200,20,rmsprop,1e-05
143,0.0014420984080061316,0.0014420984080061316,0.017969457432627678,0.0013224141439422965,0.0013224141439422965,0.018921831622719765,50,relu,16,relu,256,200,20,adam,1e-05
120,0.0014119379920884967,0.0014119379920884967,0.01763959415256977,0.0013411041582003236,0.0013411041582003236,0.018754461780190468,100,relu,32,relu,256,200,20,nadam,0.001
116,0.001451566582545638,0.001451566582545638,0.01799963414669037,0.0013492719735950232,0.0013492719735950232,0.019061436876654625,50,relu,16,relu,256,200,20,nadam,1e-05
246,0.0014058644883334637,0.0014058644883334637,0.017459634691476822,0.0013385831844061613,0.0013385831844061613,0.018641093745827675,50,relu,100,relu,256,200,20,nadam,0.0001
123,0.0014702030457556248,0.0014702030457556248,0.01825365610420704,0.0013500646455213428,0.0013500646455213428,0.01924903504550457,100,relu,16,relu,256,200,20,adam,0.0001
131,0.001426593167707324,0.001426593167707324,0.017821380868554115,0.0013332139933481812,0.0013332139933481812,0.01884722337126732,50,relu,100,relu,256,200,20,rmsprop,1e-05
144,0.001509233028627932,0.001509233028627932,0.018569091334939003,0.0013267750618979335,0.0013267750618979335,0.019316155463457108,100,relu,64,relu,256,200,20,nadam,0.0001
119,0.0014145910972729325,0.0014145910972729325,0.017741821706295013,0.0013431570259854198,0.0013431570259854198,0.018789567053318024,75,relu,64,relu,256,200,20,rmsprop,1e-05
137,0.0014603271847590804,0.0014603271847590804,0.01813494972884655,0.0013424655189737678,0.0013424655189737678,0.01913679577410221,75,relu,100,relu,256,200,20,adam,0.0001
152,0.0014255009591579437,0.0014255009591579437,0.017822999507188797,0.0013388615334406495,0.0013388615334406495,0.018888071179389954,50,relu,100,relu,256,200,20,nadam,0.001
150,0.0014375156024470925,0.0014375156024470925,0.017980756238102913,0.0013455783482640982,0.0013455783482640982,0.01901085674762726,100,relu,100,relu,256,200,20,adam,0.001
139,0.0014430958544835448,0.0014430958544835448,0.01799381896853447,0.0013301351573318243,0.0013301351573318243,0.01896476559340954,100,relu,100,relu,256,200,20,rmsprop,0.0001
